galaxy,C_kin,C_conc,f_dm,Vmax,Rmax,N_points
UGC05750,0.793539,0.593333,0.751868,78.9,22.85,11
UGC05764,0.440545,0.408522,0.821631,55.8,3.62,10
UGC05829,0.763169,0.47555,0.689041,68.6,6.91,11
UGC05918,0.647749,0.517506,0.815983,44.5,4.46,8
UGC05986,0.705649,0.509635,0.836177,116.0,9.41,15
UGC06399,0.747364,0.489908,0.795843,87.6,7.85,9
UGC06446,0.506278,0.386097,0.807429,84.9,10.22,17
UGC06614,0.916348,0.752765,0.790681,205.0,64.59,13
UGC06667,0.767766,0.621751,0.880712,85.7,7.85,9
UGC06786,0.031625,0.410623,0.868336,229.0,34.05,45
UGC06787,0.0,0.358956,0.87901,276.0,37.19,71
UGC06818,0.668718,0.414635,0.790285,74.4,6.98,8
UGC06917,0.835374,0.487444,0.750335,111.0,10.47,11
UGC06930,0.833714,0.475599,0.724068,109.0,16.61,10
UGC06973,0.916821,0.537094,0.439245,180.0,7.85,9
UGC06983,0.631853,0.428519,0.785972,113.0,15.68,17
UGC07089,0.627956,0.461528,0.701441,79.1,9.16,12
UGC07125,0.808991,0.363697,0.584565,65.6,18.68,13
UGC07151,0.621504,0.424602,0.666365,76.2,5.5,11
UGC07323,0.816108,0.548171,0.618819,85.6,5.82,10
UGC07399,0.694806,0.341042,0.894516,106.0,6.13,10
UGC07524,0.422074,0.535422,0.713208,83.8,10.69,31
UGC07577,0.845358,0.566039,0.37891,17.8,1.69,9
UGC07603,0.502779,0.387428,0.866677,64.0,4.11,12
UGC07608,0.692256,0.462892,0.864594,69.3,4.78,8
UGC08286,0.56821,0.480903,0.845974,84.3,8.04,17
UGC08490,0.539255,0.358821,0.878256,80.1,10.15,30
UGC08550,0.448792,0.4492,0.830646,57.8,5.36,11
UGC08699,0.189607,0.377373,0.808139,202.0,25.7,41
UGC08837,0.74676,0.547478,0.635386,48.0,4.2,8
UGC09037,0.729119,0.405936,0.557977,160.0,27.96,22
UGC09133,0.544624,0.355984,0.826459,289.0,108.31,68
UGC11455,0.410722,0.486505,0.66014,291.0,41.93,36
UGC11557,0.711668,0.524417,0.277198,85.0,10.56,12
UGC11820,0.003811,0.143444,0.77762,84.5,15.82,10
UGC11914,0.180821,0.512692,0.568038,305.0,9.83,65
UGC12506,0.785748,0.382378,0.74762,255.0,49.99,31
UGC12632,0.79787,0.467372,0.758142,73.2,10.66,15
UGC12732,0.818482,0.407654,0.7811,98.0,15.4,16
UGCA442,0.721869,0.367641,0.86676,57.8,6.33,8
UGCA444,0.005132,0.533602,0.841703,38.3,2.62,36
