galaxy,C_kin,C_conc,f_dm,f_gas,Vmax,Rmax,N_points,fdm_0.0_0.2,fdm_0.2_0.4,fdm_0.4_0.6,fdm_0.6_0.8,fdm_0.8_1.0,T,log_Vmax
UGC06983,0.6318527632718504,0.42851900812399635,0.7827891326935786,0.3860937189987673,113.0,15.68,17,0.6138346112621399,0.7938225568291202,0.7926516828315614,0.7863078076119365,0.7779109191743016,,2.0530784434834195
UGC07089,0.6279555628003388,0.4615279119036898,0.7014412879139383,0.2702189654764324,79.1,9.16,12,0.5349851161040926,0.47907829917642514,0.6004064550204011,0.6526389093960215,0.690577913816979,,1.8981764834976764
UGC07125,0.808990828748718,0.3636972400997186,0.58456507831097,0.5772932178627815,65.6,18.68,13,0.40241756563054054,0.614913149288722,0.6549708328536759,0.5772152446556371,0.5584002313016548,,1.8169038393756602
UGC07151,0.6215041512672123,0.42460249485020435,0.6663653252566559,0.2565990154789166,76.2,5.5,11,0.5122038378241474,0.6885612516316314,0.6650042664769508,0.676475327249322,0.6670536195629139,,1.8819549713396004
UGC07323,0.8161076087567631,0.548171341059002,0.6188189872642766,0.1764787325577653,85.6,5.82,10,0.5742971936765819,0.4909590534629089,0.5521681921314383,0.6192640526474064,0.6139214013162502,,1.9324737646771533
UGC07399,0.6948056670629981,0.34104215592461545,0.894515993007173,0.38772327397139666,106.0,6.13,10,0.800586169752725,0.8738481992561521,0.8736814728222155,0.8863747165848554,0.8922747793825998,,2.0253058652647704
UGC07524,0.42207378508883203,0.5354218069377129,0.7236904138231441,0.46677026069723426,83.8,10.69,31,0.7189552868559467,0.8072358912031671,0.8021063968438228,0.781002449767422,0.7291424426825749,,1.9232440186302764
UGC07577,0.8453576463239793,0.5660388474226886,0.37891003210043905,0.39647024575071266,17.8,1.69,9,0.3452379250193497,0.24434087872488286,0.063994104047436,0.2330853701058151,0.3716619200189891,,1.250420002308894
UGC07603,0.5027785380292428,0.38742764347357656,0.8666773203318102,0.35588303321639647,64.0,4.11,12,0.5191360730347818,0.733007199236626,0.7932655920651369,0.8452702224700906,0.8626791762984967,,1.806179973983887
UGC07608,0.6922559253264257,0.46289190597086144,0.8645937423610638,0.6737862303301726,69.3,4.78,8,0.6826571589416415,0.8858950749472967,0.8791663281726008,0.879180078069392,0.8654032024793389,,1.8407332346118068
